name,directory,path,camera,position_vehicle,type,make,model,year,plate,position_plate,char 1,char 2,char 3,char 4,char 5,char 6,char 7
track0051[20].txt,/Users/youngkyungkim/Document/duke/spring_2020/machine_learning/project/license-plate-recogition/dataset/UFPR-ALPR dataset/training/track0051/track0051[20].png,/track0051/track0051[20].png,"['iPhone', '7', 'Plus']","['700', '469', '398', '346']",['car'],['Peugeot'],['206'],['2007'],['AOV-3566'],"['856', '618', '102', '36']","['861', '629', '10', '17']","['873', '629', '11', '17']","['887', '630', '9', '17']","['903', '631', '12', '17']","['915', '632', '13', '16']","['928', '632', '11', '17']","['940', '633', '12', '17']"
track0051[16].txt,/Users/youngkyungkim/Document/duke/spring_2020/machine_learning/project/license-plate-recogition/dataset/UFPR-ALPR dataset/training/track0051/track0051[16].png,/track0051/track0051[16].png,"['iPhone', '7', 'Plus']","['689', '470', '393', '337']",['car'],['Peugeot'],['206'],['2007'],['AOV-3566'],"['841', '618', '101', '34']","['847', '628', '11', '17']","['859', '628', '12', '17']","['872', '628', '10', '18']","['890', '630', '10', '16']","['901', '630', '11', '17']","['913', '630', '11', '17']","['925', '631', '11', '17']"
track0051[17].txt,/Users/youngkyungkim/Document/duke/spring_2020/machine_learning/project/license-plate-recogition/dataset/UFPR-ALPR dataset/training/track0051/track0051[17].png,/track0051/track0051[17].png,"['iPhone', '7', 'Plus']","['694', '470', '393', '338']",['car'],['Peugeot'],['206'],['2007'],['AOV-3566'],"['846', '618', '100', '34']","['851', '628', '10', '17']","['863', '629', '11', '16']","['876', '629', '10', '17']","['893', '630', '11', '16']","['905', '630', '11', '17']","['917', '631', '11', '16']","['929', '631', '11', '17']"
track0051[01].txt,/Users/youngkyungkim/Document/duke/spring_2020/machine_learning/project/license-plate-recogition/dataset/UFPR-ALPR dataset/training/track0051/track0051[01].png,/track0051/track0051[01].png,"['iPhone', '7', 'Plus']","['666', '469', '365', '309']",['car'],['Peugeot'],['206'],['2007'],['AOV-3566'],"['807', '605', '93', '30']","['812', '614', '9', '16']","['823', '615', '10', '14']","['834', '614', '10', '16']","['851', '615', '9', '15']","['862', '615', '10', '15']","['873', '615', '10', '16']","['884', '616', '10', '15']"
track0051[21].txt,/Users/youngkyungkim/Document/duke/spring_2020/machine_learning/project/license-plate-recogition/dataset/UFPR-ALPR dataset/training/track0051/track0051[21].png,/track0051/track0051[21].png,"['iPhone', '7', 'Plus']","['704', '469', '400', '347']",['car'],['Peugeot'],['206'],['2007'],['AOV-3566'],"['859', '619', '103', '36']","['864', '629', '12', '19']","['877', '631', '11', '16']","['891', '630', '9', '18']","['907', '632', '11', '17']","['920', '633', '11', '17']","['933', '634', '10', '16']","['944', '635', '12', '16']"
track0051[06].txt,/Users/youngkyungkim/Document/duke/spring_2020/machine_learning/project/license-plate-recogition/dataset/UFPR-ALPR dataset/training/track0051/track0051[06].png,/track0051/track0051[06].png,"['iPhone', '7', 'Plus']","['670', '469', '376', '314']",['car'],['Peugeot'],['206'],['2007'],['AOV-3566'],"['816', '609', '96', '31']","['821', '619', '10', '17']","['832', '619', '11', '16']","['845', '619', '10', '16']","['861', '620', '11', '16']","['873', '620', '10', '16']","['884', '620', '10', '16']","['896', '620', '10', '16']"
track0051[10].txt,/Users/youngkyungkim/Document/duke/spring_2020/machine_learning/project/license-plate-recogition/dataset/UFPR-ALPR dataset/training/track0051/track0051[10].png,/track0051/track0051[10].png,"['iPhone', '7', 'Plus']","['679', '469', '381', '332']",['car'],['Peugeot'],['206'],['2007'],['AOV-3566'],"['825', '613', '98', '33']","['831', '623', '10', '17']","['842', '624', '11', '15']","['854', '623', '11', '18']","['871', '624', '11', '16']","['883', '625', '11', '16']","['894', '625', '11', '16']","['906', '625', '11', '16']"
track0051[30].txt,/Users/youngkyungkim/Document/duke/spring_2020/machine_learning/project/license-plate-recogition/dataset/UFPR-ALPR dataset/training/track0051/track0051[30].png,/track0051/track0051[30].png,"['iPhone', '7', 'Plus']","['724', '457', '420', '370']",['car'],['Peugeot'],['206'],['2007'],['AOV-3566'],"['889', '614', '107', '41']","['895', '627', '11', '17']","['908', '628', '11', '16']","['921', '628', '11', '18']","['939', '629', '12', '18']","['952', '630', '12', '18']","['966', '632', '10', '17']","['978', '632', '11', '18']"
track0051[26].txt,/Users/youngkyungkim/Document/duke/spring_2020/machine_learning/project/license-plate-recogition/dataset/UFPR-ALPR dataset/training/track0051/track0051[26].png,/track0051/track0051[26].png,"['iPhone', '7', 'Plus']","['713', '460', '412', '366']",['car'],['Peugeot'],['206'],['2007'],['AOV-3566'],"['876', '618', '105', '38']","['881', '629', '11', '18']","['894', '630', '11', '17']","['907', '630', '10', '18']","['925', '632', '12', '17']","['937', '632', '12', '18']","['950', '633', '11', '18']","['963', '634', '12', '18']"
track0051[27].txt,/Users/youngkyungkim/Document/duke/spring_2020/machine_learning/project/license-plate-recogition/dataset/UFPR-ALPR dataset/training/track0051/track0051[27].png,/track0051/track0051[27].png,"['iPhone', '7', 'Plus']","['719', '459', '412', '366']",['car'],['Peugeot'],['206'],['2007'],['AOV-3566'],"['880', '617', '105', '39']","['885', '628', '11', '18']","['898', '629', '11', '18']","['911', '629', '11', '19']","['929', '631', '11', '18']","['941', '632', '13', '18']","['954', '633', '12', '18']","['967', '634', '12', '18']"
track0051[11].txt,/Users/youngkyungkim/Document/duke/spring_2020/machine_learning/project/license-plate-recogition/dataset/UFPR-ALPR dataset/training/track0051/track0051[11].png,/track0051/track0051[11].png,"['iPhone', '7', 'Plus']","['681', '470', '383', '331']",['car'],['Peugeot'],['206'],['2007'],['AOV-3566'],"['828', '615', '98', '32']","['834', '625', '10', '17']","['846', '626', '10', '15']","['858', '626', '10', '16']","['874', '626', '12', '16']","['886', '626', '11', '16']","['899', '627', '10', '15']","['910', '628', '10', '15']"
track0051[07].txt,/Users/youngkyungkim/Document/duke/spring_2020/machine_learning/project/license-plate-recogition/dataset/UFPR-ALPR dataset/training/track0051/track0051[07].png,/track0051/track0051[07].png,"['iPhone', '7', 'Plus']","['674', '469', '376', '321']",['car'],['Peugeot'],['206'],['2007'],['AOV-3566'],"['819', '610', '96', '31']","['824', '619', '10', '18']","['835', '620', '11', '15']","['847', '619', '10', '18']","['864', '621', '10', '15']","['876', '621', '10', '16']","['887', '621', '10', '16']","['899', '621', '10', '16']"
track0051[28].txt,/Users/youngkyungkim/Document/duke/spring_2020/machine_learning/project/license-plate-recogition/dataset/UFPR-ALPR dataset/training/track0051/track0051[28].png,/track0051/track0051[28].png,"['iPhone', '7', 'Plus']","['719', '457', '416', '365']",['car'],['Peugeot'],['206'],['2007'],['AOV-3566'],"['882', '616', '107', '40']","['888', '628', '12', '18']","['902', '629', '11', '17']","['915', '629', '10', '19']","['933', '631', '12', '17']","['945', '632', '13', '17']","['958', '633', '12', '17']","['972', '634', '11', '17']"
